Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Boston Celtics,99,Cleveland Cavaliers,102,H
Houston Rockets,122,Golden State Warriors,121,V
Milwaukee Bucks,108,Boston Celtics,100,V
Atlanta Hawks,117,Dallas Mavericks,111,V
Charlotte Hornets,90,Detroit Pistons,102,H
Brooklyn Nets,131,Indiana Pacers,140,H
New Orleans Pelicans,91,Memphis Grizzlies,103,H
Miami Heat,109,Orlando Magic,116,H
Portland Trail Blazers,124,Phoenix Suns,76,V
Houston Rockets,105,Sacramento Kings,100,V
Minnesota Timberwolves,99,San Antonio Spurs,107,H
Denver Nuggets,96,Utah Jazz,106,H
Philadelphia 76ers,115,Washington Wizards,120,H
Los Angeles Clippers,108,Los Angeles Lakers,92,V
New York Knicks,84,Oklahoma City Thunder,105,H
Chicago Bulls,100,Toronto Raptors,117,H
Orlando Magic,121,Brooklyn Nets,126,H
Atlanta Hawks,91,Charlotte Hornets,109,H
Sacramento Kings,93,Dallas Mavericks,88,V
Portland Trail Blazers,114,Indiana Pacers,96,V
Cleveland Cavaliers,116,Milwaukee Bucks,97,V
Utah Jazz,97,Minnesota Timberwolves,100,H
Golden State Warriors,128,New Orleans Pelicans,120,V
Boston Celtics,102,Philadelphia 76ers,92,V
Los Angeles Lakers,132,Phoenix Suns,130,V
Detroit Pistons,111,Washington Wizards,115,H
San Antonio Spurs,87,Chicago Bulls,77,V
Orlando Magic,114,Cleveland Cavaliers,93,V
Sacramento Kings,79,Denver Nuggets,96,H
Dallas Mavericks,91,Houston Rockets,107,H
Phoenix Suns,88,Los Angeles Clippers,130,H
Golden State Warriors,101,Memphis Grizzlies,111,H
Indiana Pacers,108,Miami Heat,112,H
Portland Trail Blazers,110,Milwaukee Bucks,113,H
Detroit Pistons,111,New York Knicks,107,V
Philadelphia 76ers,94,Toronto Raptors,128,H
Oklahoma City Thunder,87,Utah Jazz,96,H
Atlanta Hawks,104,Brooklyn Nets,116,H
New Orleans Pelicans,119,Los Angeles Lakers,112,V
Minnesota Timberwolves,115,Oklahoma City Thunder,113,V
Golden State Warriors,133,Dallas Mavericks,103,V
Washington Wizards,109,Denver Nuggets,104,V
Philadelphia 76ers,97,Detroit Pistons,86,V
Memphis Grizzlies,98,Houston Rockets,90,V
Atlanta Hawks,93,Miami Heat,104,H
Charlotte Hornets,94,Milwaukee Bucks,103,H
Sacramento Kings,115,Phoenix Suns,117,H
Toronto Raptors,97,San Antonio Spurs,101,H
New York Knicks,89,Boston Celtics,110,H
Chicago Bulls,112,Cleveland Cavaliers,119,H
Utah Jazz,84,Los Angeles Clippers,102,H
Indiana Pacers,130,Minnesota Timberwolves,107,V
Brooklyn Nets,121,Orlando Magic,125,H
New Orleans Pelicans,93,Portland Trail Blazers,103,H
Cleveland Cavaliers,107,Brooklyn Nets,112,H
Denver Nuggets,93,Charlotte Hornets,110,H
Memphis Grizzlies,94,Dallas Mavericks,103,H
Minnesota Timberwolves,101,Detroit Pistons,122,H
Toronto Raptors,112,Golden State Warriors,117,H
Washington Wizards,99,Los Angeles Lakers,102,H
San Antonio Spurs,117,Miami Heat,100,V
Indiana Pacers,96,Oklahoma City Thunder,114,H
Houston Rockets,105,Philadelphia 76ers,104,V
Utah Jazz,88,Phoenix Suns,97,H
Atlanta Hawks,86,Chicago Bulls,91,H
Dallas Mavericks,91,Memphis Grizzlies,96,H
Boston Celtics,96,Milwaukee Bucks,89,V
Los Angeles Clippers,104,Portland Trail Blazers,103,V
New Orleans Pelicans,114,Sacramento Kings,106,V
Denver Nuggets,105,Atlanta Hawks,100,V
Houston Rockets,109,Charlotte Hornets,93,V
Washington Wizards,117,Golden State Warriors,120,H
Toronto Raptors,101,Los Angeles Lakers,92,V
Oklahoma City Thunder,116,Minnesota Timberwolves,119,H
Brooklyn Nets,86,New York Knicks,107,H
San Antonio Spurs,87,Orlando Magic,114,H
Oklahoma City Thunder,101,Chicago Bulls,69,V
Philadelphia 76ers,112,Dallas Mavericks,110,V
Detroit Pistons,95,Los Angeles Clippers,87,V
Houston Rockets,89,Memphis Grizzlies,103,H
Boston Celtics,96,Miami Heat,90,V
Cleveland Cavaliers,101,New Orleans Pelicans,123,H
Phoenix Suns,107,Portland Trail Blazers,114,H
Los Angeles Lakers,81,Utah Jazz,96,H
Milwaukee Bucks,117,Atlanta Hawks,106,V
Denver Nuggets,124,Brooklyn Nets,111,V
Orlando Magic,113,Charlotte Hornets,120,H
New York Knicks,114,Cleveland Cavaliers,95,V
Detroit Pistons,115,Golden State Warriors,107,V
San Antonio Spurs,94,Indiana Pacers,97,H
Washington Wizards,110,Sacramento Kings,83,V
San Antonio Spurs,94,Boston Celtics,108,H
Philadelphia 76ers,115,Houston Rockets,107,V
Golden State Warriors,141,Los Angeles Clippers,113,V
Charlotte Hornets,104,Memphis Grizzlies,99,V
Minnesota Timberwolves,125,Miami Heat,122,V
Orlando Magic,115,New Orleans Pelicans,99,V
Denver Nuggets,110,New York Knicks,116,H
Toronto Raptors,99,Portland Trail Blazers,85,V
Dallas Mavericks,89,Utah Jazz,104,H
Phoenix Suns,122,Brooklyn Nets,114,V
Sacramento Kings,83,Indiana Pacers,101,H
Detroit Pistons,93,Los Angeles Lakers,113,H
Oklahoma City Thunder,110,Milwaukee Bucks,91,V
Sacramento Kings,86,Boston Celtics,113,H
Milwaukee Bucks,121,Charlotte Hornets,126,H
Indiana Pacers,124,Cleveland Cavaliers,107,V
Toronto Raptors,111,Denver Nuggets,129,H
Dallas Mavericks,98,Los Angeles Clippers,119,H
Orlando Magic,101,Memphis Grizzlies,99,V
Chicago Bulls,91,Miami Heat,97,H
Minnesota Timberwolves,104,New Orleans Pelicans,98,V
Houston Rockets,119,New York Knicks,97,V
Atlanta Hawks,109,Philadelphia 76ers,119,H
Portland Trail Blazers,103,Utah Jazz,112,H
Phoenix Suns,122,Washington Wizards,116,V
Los Angeles Lakers,110,Portland Trail Blazers,113,H
Golden State Warriors,112,San Antonio Spurs,92,V
Houston Rockets,119,Atlanta Hawks,104,V
New Orleans Pelicans,99,Dallas Mavericks,94,V
Miami Heat,94,Denver Nuggets,95,H
Milwaukee Bucks,96,Detroit Pistons,105,H
Brooklyn Nets,112,Los Angeles Lakers,124,H
Phoenix Suns,107,New York Knicks,120,H
Boston Celtics,101,Oklahoma City Thunder,94,V
Chicago Bulls,105,Orlando Magic,83,V
Indiana Pacers,110,Philadelphia 76ers,121,H
Charlotte Hornets,101,San Antonio Spurs,108,H
Toronto Raptors,109,Utah Jazz,100,V
Cleveland Cavaliers,130,Washington Wizards,122,V
New Orleans Pelicans,96,Chicago Bulls,90,V
Golden State Warriors,127,Denver Nuggets,108,V
Sacramento Kings,99,Detroit Pistons,108,H
Memphis Grizzlies,113,Los Angeles Clippers,104,V
Dallas Mavericks,99,Minnesota Timberwolves,112,H
Atlanta Hawks,117,Cleveland Cavaliers,115,V
Utah Jazz,110,Houston Rockets,137,H
Miami Heat,104,Los Angeles Clippers,101,V
Memphis Grizzlies,102,Los Angeles Lakers,107,H
Charlotte Hornets,94,Minnesota Timberwolves,112,H
Indiana Pacers,101,New York Knicks,108,H
Boston Celtics,104,Orlando Magic,88,V
Oklahoma City Thunder,99,Portland Trail Blazers,103,H
Phoenix Suns,95,San Antonio Spurs,112,H
Washington Wizards,107,Toronto Raptors,96,V
Boston Celtics,110,Atlanta Hawks,107,V
Miami Heat,80,Golden State Warriors,97,H
Brooklyn Nets,98,Phoenix Suns,92,V
Milwaukee Bucks,119,Cleveland Cavaliers,124,H
Brooklyn Nets,104,Denver Nuggets,112,H
New Orleans Pelicans,117,Indiana Pacers,112,V
Charlotte Hornets,113,New York Knicks,118,H
Memphis Grizzlies,98,Portland Trail Blazers,97,V
Oklahoma City Thunder,86,Sacramento Kings,94,H
Los Angeles Clippers,107,San Antonio Spurs,120,H
Chicago Bulls,114,Toronto Raptors,119,H
Philadelphia 76ers,104,Utah Jazz,97,V
Dallas Mavericks,113,Washington Wizards,99,V
Los Angeles Lakers,96,Boston Celtics,107,H
Indiana Pacers,97,Detroit Pistons,114,H
Minnesota Timberwolves,101,Golden State Warriors,125,H
New York Knicks,99,Orlando Magic,112,H
Miami Heat,126,Phoenix Suns,115,V
Oklahoma City Thunder,94,Denver Nuggets,102,H
Cleveland Cavaliers,113,Houston Rockets,117,H
Philadelphia 76ers,108,Sacramento Kings,109,H
New Orleans Pelicans,118,Toronto Raptors,122,H
Los Angeles Lakers,95,Washington Wizards,111,H
Charlotte Hornets,87,Boston Celtics,90,H
Indiana Pacers,105,Chicago Bulls,87,V
Atlanta Hawks,104,Detroit Pistons,111,H
Los Angeles Clippers,111,Oklahoma City Thunder,120,H
Orlando Magic,128,Phoenix Suns,112,V
Brooklyn Nets,101,Portland Trail Blazers,97,V
Milwaukee Bucks,94,San Antonio Spurs,87,V
Miami Heat,84,Utah Jazz,74,V
Cleveland Cavaliers,111,Dallas Mavericks,104,V
Orlando Magic,107,Denver Nuggets,125,H
Philadelphia 76ers,114,Golden State Warriors,135,H
Memphis Grizzlies,96,Houston Rockets,111,H
Los Angeles Lakers,90,Milwaukee Bucks,98,H
Los Angeles Clippers,103,New Orleans Pelicans,111,H
Sacramento Kings,91,New York Knicks,118,H
Minnesota Timberwolves,110,Phoenix Suns,118,H
Chicago Bulls,94,San Antonio Spurs,133,H
Brooklyn Nets,106,Utah Jazz,114,H
Atlanta Hawks,94,Washington Wizards,113,H
Toronto Raptors,94,Boston Celtics,95,H
Miami Heat,103,Detroit Pistons,112,H
Houston Rockets,118,Indiana Pacers,95,V
Dallas Mavericks,99,Oklahoma City Thunder,112,H
Orlando Magic,100,Golden State Warriors,110,H
Philadelphia 76ers,109,Los Angeles Clippers,105,V
Memphis Grizzlies,103,Milwaukee Bucks,110,H
Atlanta Hawks,105,New Orleans Pelicans,106,H
Cleveland Cavaliers,104,New York Knicks,101,V
Los Angeles Lakers,100,Phoenix Suns,93,V
Denver Nuggets,82,Portland Trail Blazers,99,H
Minnesota Timberwolves,109,Utah Jazz,98,V
Sacramento Kings,92,Washington Wizards,110,H
Boston Celtics,109,Brooklyn Nets,102,V
San Antonio Spurs,97,Dallas Mavericks,91,V
Toronto Raptors,129,Houston Rockets,113,V
Sacramento Kings,80,Atlanta Hawks,126,H
Cleveland Cavaliers,115,Charlotte Hornets,107,V
Philadelphia 76ers,115,Los Angeles Lakers,109,V
Indiana Pacers,116,Memphis Grizzlies,113,V
Washington Wizards,102,Miami Heat,93,V
Detroit Pistons,95,Milwaukee Bucks,99,H
San Antonio Spurs,86,Minnesota Timberwolves,98,H
Toronto Raptors,125,New Orleans Pelicans,116,V
Utah Jazz,101,New York Knicks,106,H
Chicago Bulls,79,Oklahoma City Thunder,92,H
Orlando Magic,94,Portland Trail Blazers,99,H
Golden State Warriors,88,Boston Celtics,92,H
Houston Rockets,142,Phoenix Suns,116,V
Utah Jazz,107,Brooklyn Nets,118,H
Charlotte Hornets,120,Chicago Bulls,123,H
Los Angeles Clippers,113,Cleveland Cavaliers,118,H
Minnesota Timberwolves,111,Dallas Mavericks,87,V
New Orleans Pelicans,114,Denver Nuggets,146,H
Detroit Pistons,100,Indiana Pacers,107,H
Phoenix Suns,122,Los Angeles Lakers,113,V
Portland Trail Blazers,82,Sacramento Kings,86,H
Oklahoma City Thunder,101,San Antonio Spurs,104,H
New York Knicks,84,Toronto Raptors,107,H
Miami Heat,91,Washington Wizards,88,V
Boston Celtics,110,Atlanta Hawks,99,V
Los Angeles Clippers,87,Charlotte Hornets,102,H
Milwaukee Bucks,79,Dallas Mavericks,111,H
Houston Rockets,105,Memphis Grizzlies,83,V
Utah Jazz,125,Orlando Magic,85,V
Golden State Warriors,124,Philadelphia 76ers,116,V
Sacramento Kings,90,Portland Trail Blazers,102,H
Golden State Warriors,118,Brooklyn Nets,111,V
Denver Nuggets,109,Los Angeles Lakers,127,H
Indiana Pacers,120,Miami Heat,95,V
Detroit Pistons,100,Minnesota Timberwolves,97,V
Chicago Bulls,105,Phoenix Suns,113,H
Washington Wizards,91,Toronto Raptors,100,H
Minnesota Timberwolves,102,Charlotte Hornets,118,H
Boston Celtics,110,Dallas Mavericks,102,V
Cleveland Cavaliers,116,Detroit Pistons,88,V
Portland Trail Blazers,100,Memphis Grizzlies,92,V
Washington Wizards,99,Milwaukee Bucks,88,V
Oklahoma City Thunder,107,New Orleans Pelicans,114,H
Los Angeles Clippers,85,New York Knicks,107,H
Indiana Pacers,105,Orlando Magic,97,V
Utah Jazz,86,Philadelphia 76ers,107,H
Denver Nuggets,114,Sacramento Kings,98,V
Atlanta Hawks,85,San Antonio Spurs,96,H
Chicago Bulls,94,Los Angeles Lakers,103,H
Los Angeles Clippers,116,Atlanta Hawks,103,V
Washington Wizards,124,Charlotte Hornets,129,H
Brooklyn Nets,109,Cleveland Cavaliers,119,H
Denver Nuggets,95,Houston Rockets,125,H
Dallas Mavericks,95,Memphis Grizzlies,94,V
Boston Celtics,98,Miami Heat,104,H
Orlando Magic,118,Minnesota Timberwolves,124,H
San Antonio Spurs,90,New Orleans Pelicans,107,H
Toronto Raptors,100,New York Knicks,108,H
Golden State Warriors,91,Oklahoma City Thunder,108,H
Portland Trail Blazers,81,Philadelphia 76ers,101,H
Milwaukee Bucks,113,Phoenix Suns,107,V
Los Angeles Lakers,102,Sacramento Kings,113,H
Chicago Bulls,80,Utah Jazz,110,H
New York Knicks,104,Atlanta Hawks,116,H
Orlando Magic,103,Boston Celtics,118,H
Portland Trail Blazers,127,Brooklyn Nets,125,V
Charlotte Hornets,99,Cleveland Cavaliers,100,H
Memphis Grizzlies,92,Denver Nuggets,104,H
Chicago Bulls,94,Golden State Warriors,143,H
Toronto Raptors,104,Indiana Pacers,107,H
Miami Heat,109,Minnesota Timberwolves,97,V
Detroit Pistons,99,Oklahoma City Thunder,98,V
New Orleans Pelicans,115,Phoenix Suns,91,V
Toronto Raptors,112,Atlanta Hawks,78,V
San Antonio Spurs,106,Charlotte Hornets,86,V
Oklahoma City Thunder,81,Dallas Mavericks,97,H
New Orleans Pelicans,95,Golden State Warriors,110,H
New York Knicks,102,Houston Rockets,117,H
Boston Celtics,108,Indiana Pacers,98,V
Orlando Magic,111,Philadelphia 76ers,130,H
Los Angeles Clippers,97,Sacramento Kings,95,V
Milwaukee Bucks,108,Utah Jazz,121,H
Portland Trail Blazers,108,Washington Wizards,105,V
Miami Heat,100,Chicago Bulls,93,V
Brooklyn Nets,98,Memphis Grizzlies,88,V
Phoenix Suns,108,Minnesota Timberwolves,119,H
Detroit Pistons,118,Boston Celtics,108,V
Sacramento Kings,110,Golden State Warriors,106,V
Brooklyn Nets,103,Houston Rockets,117,H
Orlando Magic,109,Indiana Pacers,121,H
Los Angeles Lakers,115,Los Angeles Clippers,120,H
Portland Trail Blazers,103,New York Knicks,91,V
Cleveland Cavaliers,113,Philadelphia 76ers,91,V
Dallas Mavericks,108,San Antonio Spurs,115,H
Phoenix Suns,104,Chicago Bulls,99,V
Miami Heat,97,Cleveland Cavaliers,108,H
Washington Wizards,92,Minnesota Timberwolves,89,V
Milwaukee Bucks,112,Sacramento Kings,87,V
Denver Nuggets,77,Utah Jazz,106,H
Brooklyn Nets,109,Dallas Mavericks,104,V
Phoenix Suns,107,Detroit Pistons,131,H
Indiana Pacers,97,Houston Rockets,118,H
Golden State Warriors,127,Los Angeles Lakers,123,V
Minnesota Timberwolves,120,New Orleans Pelicans,102,V
Miami Heat,86,New York Knicks,115,H
Oklahoma City Thunder,108,Orlando Magic,121,H
Washington Wizards,113,Philadelphia 76ers,118,H
Memphis Grizzlies,95,San Antonio Spurs,104,H
Charlotte Hornets,113,Toronto Raptors,126,H
Cleveland Cavaliers,121,Atlanta Hawks,114,V
Philadelphia 76ers,97,Boston Celtics,108,H
Chicago Bulls,110,Denver Nuggets,111,H
Utah Jazz,126,Los Angeles Clippers,107,V
Milwaukee Bucks,103,Portland Trail Blazers,91,V
Sacramento Kings,107,Chicago Bulls,106,V
San Antonio Spurs,95,Memphis Grizzlies,79,V
Charlotte Hornets,100,Miami Heat,105,H
Minnesota Timberwolves,107,Oklahoma City Thunder,111,H
Golden State Warriors,133,Orlando Magic,112,V
Indiana Pacers,115,Toronto Raptors,120,H
New Orleans Pelicans,108,Utah Jazz,114,H
Detroit Pistons,91,Washington Wizards,109,H
Phoenix Suns,111,Boston Celtics,116,H
Atlanta Hawks,114,Brooklyn Nets,102,V
Memphis Grizzlies,111,Cleveland Cavaliers,116,H
Los Angeles Clippers,82,Dallas Mavericks,108,H
Los Angeles Lakers,100,Denver Nuggets,115,H
Sacramento Kings,104,Milwaukee Bucks,109,H
Detroit Pistons,103,Philadelphia 76ers,108,H
New Orleans Pelicans,123,Portland Trail Blazers,116,V
Houston Rockets,118,Los Angeles Lakers,95,V
Golden State Warriors,123,Miami Heat,95,V
Los Angeles Clippers,106,Minnesota Timberwolves,112,H
Orlando Magic,105,New York Knicks,100,V
San Antonio Spurs,87,Oklahoma City Thunder,90,H
Brooklyn Nets,110,Atlanta Hawks,90,V
Milwaukee Bucks,100,Boston Celtics,111,H
Cleveland Cavaliers,113,Chicago Bulls,91,V
Orlando Magic,94,Charlotte Hornets,104,H
Denver Nuggets,105,Dallas Mavericks,122,H
New York Knicks,97,Indiana Pacers,115,H
Minnesota Timberwolves,92,Memphis Grizzlies,95,H
Golden State Warriors,125,New Orleans Pelicans,115,V
Phoenix Suns,115,Philadelphia 76ers,101,V
Detroit Pistons,93,San Antonio Spurs,96,H
Washington Wizards,69,Utah Jazz,116,H
Utah Jazz,94,Oklahoma City Thunder,100,H
Washington Wizards,106,Portland Trail Blazers,92,V
Phoenix Suns,113,Toronto Raptors,126,H
Dallas Mavericks,90,Boston Celtics,97,H
Golden State Warriors,101,Charlotte Hornets,87,V
Sacramento Kings,95,Cleveland Cavaliers,101,H
Chicago Bulls,96,Indiana Pacers,98,H
Minnesota Timberwolves,113,Los Angeles Clippers,107,V
Detroit Pistons,100,Milwaukee Bucks,104,H
Denver Nuggets,114,New Orleans Pelicans,123,H
Memphis Grizzlies,88,New York Knicks,99,H
Atlanta Hawks,106,Orlando Magic,110,H
Miami Heat,105,San Antonio Spurs,117,H
Oklahoma City Thunder,95,Brooklyn Nets,100,H
Los Angeles Lakers,107,Philadelphia 76ers,104,V
Washington Wizards,109,Phoenix Suns,99,V
Houston Rockets,112,Utah Jazz,101,V
Chicago Bulls,119,Charlotte Hornets,111,V
Golden State Warriors,102,Detroit Pistons,98,V
Cleveland Cavaliers,102,Indiana Pacers,106,H
Toronto Raptors,116,Memphis Grizzlies,107,V
Dallas Mavericks,102,Milwaukee Bucks,109,H
Sacramento Kings,116,New Orleans Pelicans,109,V
Denver Nuggets,103,Orlando Magic,89,V
Boston Celtics,102,San Antonio Spurs,105,H
Orlando Magic,110,Atlanta Hawks,117,H
Miami Heat,101,Brooklyn Nets,89,V
New York Knicks,102,Chicago Bulls,104,H
Los Angeles Lakers,110,Charlotte Hornets,99,V
Philadelphia 76ers,98,Cleveland Cavaliers,105,H
Washington Wizards,112,Los Angeles Clippers,113,H
Oklahoma City Thunder,102,Memphis Grizzlies,101,V
Utah Jazz,100,Milwaukee Bucks,117,H
San Antonio Spurs,104,Phoenix Suns,101,V
Houston Rockets,124,Portland Trail Blazers,117,V
Boston Celtics,91,Detroit Pistons,81,V
Denver Nuggets,116,Indiana Pacers,126,H
Dallas Mavericks,92,Minnesota Timberwolves,97,H
Philadelphia 76ers,124,New Orleans Pelicans,131,H
Atlanta Hawks,107,New York Knicks,111,H
Toronto Raptors,102,Sacramento Kings,87,V
Boston Celtics,85,Chicago Bulls,108,H
Portland Trail Blazers,104,Golden State Warriors,111,H
New Orleans Pelicans,123,Houston Rockets,130,H
Toronto Raptors,91,Los Angeles Clippers,96,H
Miami Heat,107,Memphis Grizzlies,82,V
Charlotte Hornets,116,Oklahoma City Thunder,103,V
Washington Wizards,98,Brooklyn Nets,103,H
Atlanta Hawks,114,Cleveland Cavaliers,123,H
San Antonio Spurs,89,Dallas Mavericks,95,H
Denver Nuggets,103,Detroit Pistons,84,V
Philadelphia 76ers,118,Minnesota Timberwolves,112,V
Los Angeles Lakers,109,New York Knicks,113,H
Phoenix Suns,92,Sacramento Kings,99,H
Denver Nuggets,118,Boston Celtics,124,H
Utah Jazz,100,Chicago Bulls,103,H
Charlotte Hornets,96,Houston Rockets,108,H
Oklahoma City Thunder,100,Indiana Pacers,95,V
Portland Trail Blazers,102,Miami Heat,95,V
Milwaukee Bucks,108,New Orleans Pelicans,115,H
Los Angeles Clippers,106,Orlando Magic,95,V
