Players,Team,MP,FG,FGA,FGp,3P,3PA,3Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DeAndre' Bembry,ATL,354,47,98,0.4796,1,18,0.0556,6,16,0.3750,14,45,59,28,8,5,16,21,101
Dennis Schroder,ATL,2444,548,1214,0.4514,100,294,0.3401,218,255,0.8549,42,206,248,499,74,16,258,149,1414
Dwight Howard,ATL,2167,388,613,0.6330,0,2,0.0000,226,424,0.5330,296,644,940,104,64,92,170,203,1002
Edy Tavares,ATL,3,1,1,1.0000,0,0,,0,2,0.0000,0,1,1,0,0,0,0,0,2
Ersan Ilyasova,ATL,621,93,226,0.4115,32,92,0.3478,52,65,0.8000,42,109,151,43,22,8,34,73,270
Gary Neal,ATL,17,0,7,0.0000,0,2,0.0000,4,4,1.0000,0,1,1,1,0,0,0,1,4
Jose Calderon,ATL,238,23,57,0.4035,8,30,0.2667,7,8,0.8750,7,25,32,37,4,0,15,14,61
Kent Bazemore,ATL,1929,295,721,0.4092,92,266,0.3459,119,168,0.7083,45,186,231,177,91,52,125,165,801
Kris Humphries,ATL,658,87,214,0.4065,19,54,0.3519,64,82,0.7805,60,146,206,29,15,21,28,69,257
Kyle Korver,ATL,877,108,246,0.4390,65,159,0.4088,24,27,0.8889,0,89,89,75,23,13,40,47,305
Lamar Patterson,ATL,38,3,15,0.2000,1,6,0.1667,2,3,0.6667,1,6,7,6,1,0,4,6,9
Malcolm Delaney,ATL,1215,145,388,0.3737,26,110,0.2364,75,93,0.8065,10,113,123,193,39,1,95,112,391
Mike Dunleavy,ATL,457,57,130,0.4385,33,77,0.4286,22,26,0.8462,13,55,68,30,9,5,14,35,169
Mike Muscala,ATL,1205,170,337,0.5045,46,110,0.4182,49,64,0.7656,76,164,240,95,30,41,55,97,435
Mike Scott,ATL,186,17,59,0.2881,4,27,0.1481,7,8,0.8750,10,27,37,17,4,3,8,12,45
Paul Millsap,ATL,2308,430,972,0.4424,75,241,0.3112,311,405,0.7679,111,422,533,252,90,62,158,186,1246
Ryan Kelly,ATL,103,8,28,0.2857,4,10,0.4000,5,6,0.8333,1,17,18,8,4,5,4,5,25
Taurean Waller-Prince,ATL,953,114,285,0.4000,33,102,0.3235,74,94,0.7872,25,132,157,55,43,27,61,96,335
Thabo Sefolosha,ATL,1563,174,395,0.4405,41,120,0.3417,55,75,0.7333,54,216,270,107,96,31,58,97,444
Tim Hardaway,ATL,2116,415,912,0.4550,149,417,0.3573,164,214,0.7664,35,189,224,182,55,15,106,103,1143
Al Horford,BOS,2158,379,801,0.4732,86,242,0.3554,108,135,0.8000,95,370,465,337,52,86,115,138,952
Amir Johnson,BOS,1566,213,370,0.5757,27,66,0.4091,67,100,0.6700,118,248,366,140,51,62,77,211,520
Avery Bradley,BOS,1807,359,775,0.4632,108,277,0.3899,68,93,0.7312,65,269,334,122,68,11,88,141,894
Demetrius Jackson,BOS,15,3,4,0.7500,1,1,1.0000,3,6,0.5000,2,2,4,3,0,0,0,0,10
Gerald Green,BOS,514,95,232,0.4095,39,111,0.3514,33,41,0.8049,16,68,84,33,9,7,25,48,262
Isaiah Thomas,BOS,2529,682,1473,0.4630,245,646,0.3793,590,649,0.9091,43,162,205,448,70,13,210,167,2199
Jae Crowder,BOS,2297,333,720,0.4625,157,394,0.3985,176,217,0.8111,48,367,415,155,73,23,80,161,999
James Young,BOS,206,25,58,0.4310,12,35,0.3429,6,9,0.6667,6,20,26,4,10,2,4,15,68
Jaylen Brown,BOS,1297,192,423,0.4539,46,135,0.3407,85,124,0.6855,45,175,220,64,35,18,68,142,515
Jonas Jerebko,BOS,1197,114,262,0.4351,45,130,0.3462,26,37,0.7027,59,213,272,71,25,17,39,122,299
Jordan Mickey,BOS,128,15,34,0.4412,0,1,0.0000,8,14,0.5714,13,21,34,7,3,6,9,12,38
Kelly Olynyk,BOS,1502,260,508,0.5118,68,192,0.3542,90,123,0.7317,73,288,361,148,43,29,96,207,678
Marcus Smart,BOS,2360,269,749,0.3591,94,332,0.2831,203,250,0.8120,78,227,305,364,125,34,159,192,835
Terry Rozier,BOS,1227,151,411,0.3674,57,179,0.3184,51,66,0.7727,40,187,227,131,46,11,47,69,410
Tyler Zeller,BOS,496,78,158,0.4937,0,1,0.0000,22,39,0.5641,43,81,124,42,7,21,20,61,178
Andrew Nicholson,BRK,105,13,34,0.3824,2,11,0.1818,2,2,1.0000,4,23,27,3,5,0,6,18,30
Anthony Bennett,BRK,252,38,92,0.4130,13,48,0.2708,26,36,0.7222,25,53,78,12,5,3,12,18,115
Archie Goodwin,BRK,178,34,61,0.5574,4,13,0.3077,23,32,0.7188,7,21,28,23,4,4,14,7,95
Bojan Bogdanovic,BRK,1456,269,611,0.4403,99,277,0.3574,146,167,0.8743,23,174,197,90,24,3,93,99,783
Brook Lopez,BRK,2186,555,1172,0.4735,134,387,0.3463,295,364,0.8104,121,282,403,176,38,124,184,192,1539
Caris LeVert,BRK,1211,171,380,0.4500,59,184,0.3207,67,93,0.7204,23,165,188,110,49,8,59,91,468
Chris McCullough,BRK,65,16,31,0.5161,1,6,0.1667,2,3,0.6667,9,8,17,2,1,2,2,7,35
Greivis Vasquez,BRK,37,2,8,0.2500,1,3,0.3333,2,3,0.6667,0,2,2,5,1,1,1,6,7
Isaiah Whitehead,BRK,1609,204,508,0.4016,44,149,0.2953,91,113,0.8053,32,152,184,192,42,36,142,175,543
Jeremy Lin,BRK,864,175,400,0.4375,58,156,0.3718,115,141,0.8156,11,124,135,184,42,14,86,79,523
Joe Harris,BRK,1112,154,362,0.4254,85,221,0.3846,35,49,0.7143,16,131,147,54,30,8,55,121,428
Justin Hamilton,BRK,1145,174,379,0.4591,55,180,0.3056,39,52,0.7500,71,191,262,55,29,43,43,91,442
K.J. McDaniels,BRK,283,46,101,0.4554,11,39,0.2821,23,28,0.8214,9,43,52,9,12,10,19,25,126
Luis Scola,BRK,441,71,151,0.4702,17,50,0.3400,25,37,0.6757,51,88,139,37,14,4,34,63,184
Quincy Acy,BRK,497,65,153,0.4248,36,83,0.4337,43,57,0.7544,18,89,107,18,14,15,19,58,209
Randy Foye,BRK,1252,118,325,0.3631,67,203,0.3300,54,63,0.8571,9,146,155,135,35,9,80,99,357
Rondae Hollis-Jefferson,BRK,1721,235,542,0.4336,15,67,0.2239,190,253,0.7510,96,356,452,154,82,44,116,177,675
Sean Kilpatrick,BRK,1720,305,735,0.4150,105,308,0.3409,204,242,0.8430,22,258,280,157,45,6,135,118,919
Spencer Dinwiddie,BRK,1304,134,302,0.4437,38,101,0.3762,126,159,0.7925,27,137,164,185,44,23,66,119,432
Trevor Booker,BRK,1717,305,591,0.5161,25,78,0.3205,74,110,0.6727,143,428,571,138,75,28,127,152,709
Yogi Ferrell,BRK,146,18,49,0.3673,8,27,0.2963,10,16,0.6250,4,8,12,17,2,2,14,11,54
Anthony Morrow,CHI,84,12,29,0.4138,6,14,0.4286,11,11,1.0000,1,1,2,6,2,0,0,4,41
Bobby Portis,CHI,971,183,375,0.4880,32,96,0.3333,39,59,0.6610,75,221,296,35,16,11,37,94,437
Cameron Payne,CHI,135,21,63,0.3333,11,34,0.3235,1,4,0.2500,1,16,17,15,4,0,13,14,54
Cristiano Felicio,CHI,1013,128,221,0.5792,0,0,,60,93,0.6452,124,187,311,40,25,17,33,110,316
Denzel Valentine,CHI,949,102,288,0.3542,73,208,0.3510,14,18,0.7778,11,140,151,63,30,7,49,86,291
Doug McDermott,CHI,1054,166,373,0.4450,56,150,0.3733,59,67,0.8806,14,116,130,45,11,4,32,57,447
Dwyane Wade,CHI,1765,414,955,0.4335,45,145,0.3103,223,281,0.7936,63,207,270,228,86,41,138,112,1096
Isaiah Canaan,CHI,573,63,173,0.3642,25,94,0.2660,30,33,0.9091,6,44,50,37,22,1,21,35,181
Jerian Grant,CHI,1000,128,301,0.4252,49,134,0.3657,65,73,0.8904,17,94,111,121,47,8,44,93,370
Jimmy Butler,CHI,2774,570,1252,0.4553,91,248,0.3669,585,676,0.8654,129,341,470,417,143,32,159,112,1816
Joffrey Lauvergne,CHI,231,37,92,0.4022,6,20,0.3000,9,15,0.6000,21,47,68,19,7,0,16,12,89
Michael Carter-Williams,CHI,825,112,306,0.3660,15,64,0.2344,58,77,0.7532,24,129,153,113,38,23,66,102,297
Nikola Mirotic,CHI,1646,258,625,0.4128,129,377,0.3422,99,128,0.7734,61,323,384,75,53,55,80,128,744
Paul Zipser,CHI,823,88,221,0.3982,33,99,0.3333,31,40,0.7750,15,110,125,36,15,16,40,78,240
R.J. Hunter,CHI,7,0,1,0.0000,0,1,0.0000,0,0,,0,1,1,0,0,0,0,0,0
Rajon Rondo,CHI,1807,229,561,0.4082,50,133,0.3759,30,50,0.6000,73,282,355,461,99,11,169,144,538
Robin Lopez,CHI,2232,382,775,0.4929,0,2,0.0000,75,104,0.7212,244,276,520,80,18,117,91,151,839
Taj Gibson,CHI,1475,276,530,0.5208,2,12,0.1667,85,119,0.7143,120,262,382,60,27,50,77,123,639
Aaron Harrison,CHO,14,0,4,0.0000,0,2,0.0000,1,2,0.5000,0,3,3,3,0,0,0,2,1
Brian Roberts,CHO,401,46,122,0.3770,17,44,0.3864,33,39,0.8462,5,34,39,52,9,1,26,18,142
Briante Weber,CHO,152,20,46,0.4348,1,7,0.1429,9,13,0.6923,8,14,22,16,9,0,5,12,50
Christian Wood,CHO,101,12,23,0.5217,0,5,0.0000,11,15,0.7333,14,15,29,2,3,6,7,11,35
Cody Zeller,CHO,1695,253,443,0.5711,0,1,0.0000,133,196,0.6786,135,270,405,99,62,58,65,189,639
Frank Kaminsky,CHO,1919,320,802,0.3990,116,354,0.3277,118,156,0.7564,57,279,336,162,46,34,76,139,874
Jeremy Lamb,CHO,1110,226,491,0.4603,41,146,0.2808,110,129,0.8527,30,234,264,75,27,23,40,98,603
Johnny O'Bryant,CHO,32,8,15,0.5333,1,3,0.3333,1,2,0.5000,4,4,8,4,0,0,3,6,18
Kemba Walker,CHO,2695,643,1449,0.4438,240,602,0.3987,304,359,0.8468,45,263,308,434,85,22,168,119,1830
Marco Belinelli,CHO,1741,264,615,0.4293,102,283,0.3604,150,168,0.8929,14,164,178,147,44,9,70,90,780
Marvin Williams,CHO,2256,297,704,0.4219,124,354,0.3503,131,150,0.8733,89,411,500,106,58,53,60,134,849
Michael Kidd-Gilchrist,CHO,2308,295,618,0.4773,1,9,0.1111,152,194,0.7835,156,409,565,114,81,77,56,187,743
Mike Tobey,CHO,24,1,4,0.2500,0,0,,0,0,,2,1,3,1,0,0,1,2,2
Miles Plumlee,CHO,166,14,24,0.5833,0,0,,3,4,0.7500,15,27,42,3,7,4,8,25,31
Nicolas Batum,CHO,2583,393,975,0.4031,135,405,0.3333,243,284,0.8556,46,435,481,456,86,29,194,109,1164
Ramon Sessions,CHO,786,100,263,0.3802,21,62,0.3387,91,118,0.7712,11,62,73,129,27,3,46,43,312
Ray McCallum,CHO,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Roy Hibbert,CHO,649,78,144,0.5417,0,0,,61,75,0.8133,53,97,150,20,8,44,31,97,217
Spencer Hawes,CHO,612,104,218,0.4771,16,55,0.2909,30,34,0.8824,32,114,146,62,13,26,40,61,254
Treveon Graham,CHO,175,19,40,0.4750,9,15,0.6000,10,15,0.6667,5,17,22,6,6,1,3,18,57
Andrew Bogut,CLE,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
Channing Frye,CLE,1361,238,520,0.4577,137,335,0.4090,63,74,0.8514,37,253,290,45,33,37,53,138,676
Chris Andersen,CLE,107,9,22,0.4091,0,3,0.0000,10,14,0.7143,9,22,31,5,5,7,5,20,28
Dahntay Jones,CLE,12,3,8,0.3750,0,2,0.0000,3,4,0.7500,1,1,2,1,0,0,1,1,9
DeAndre Liggins,CLE,726,52,136,0.3824,17,45,0.3778,23,37,0.6216,17,84,101,54,45,14,42,78,144
Deron Williams,CLE,476,68,147,0.4626,22,53,0.4151,21,25,0.8400,1,44,45,86,6,6,40,42,179
Derrick Williams,CLE,415,54,107,0.5047,21,52,0.4038,27,39,0.6923,3,54,57,14,5,2,14,27,156
Edy Tavares,CLE,24,3,4,0.7500,0,0,,0,1,0.0000,4,6,10,1,0,6,2,3,6
Iman Shumpert,CLE,1900,201,489,0.4110,94,261,0.3602,71,90,0.7889,39,179,218,109,62,27,78,150,567
J.R. Smith,CLE,1167,123,356,0.3455,95,271,0.3506,10,15,0.6667,17,96,113,62,40,11,26,77,351
James Jones,CLE,355,44,92,0.4783,31,66,0.4697,13,20,0.6500,3,34,37,14,6,10,10,37,132
Jordan McRae,CLE,364,58,150,0.3867,18,51,0.3529,27,34,0.7941,6,35,41,19,8,6,14,31,161
Kay Felder,CLE,363,62,158,0.3924,7,22,0.3182,35,49,0.7143,3,38,41,58,18,7,30,38,166
Kevin Love,CLE,1854,370,867,0.4268,145,389,0.3728,257,295,0.8712,148,518,666,116,53,21,122,125,1142
Kyle Korver,CLE,842,131,269,0.4870,97,200,0.4850,14,15,0.9333,7,90,97,35,11,8,29,60,373
Kyrie Irving,CLE,2489,671,1420,0.4725,177,441,0.4014,297,328,0.9055,52,178,230,418,83,24,180,157,1816
Larry Sanders,CLE,10,1,4,0.2500,0,0,,2,2,1.0000,3,1,4,0,1,1,2,5,4
LeBron James,CLE,2760,736,1344,0.5476,124,342,0.3626,358,531,0.6742,97,542,639,646,92,44,303,134,1954
Mike Dunleavy,CLE,354,36,90,0.4000,20,57,0.3509,14,19,0.7368,5,42,47,20,6,2,14,32,106
Richard Jefferson,CLE,1576,153,343,0.4461,62,186,0.3333,80,108,0.7407,28,175,203,78,26,10,52,153,448
Tristan Thompson,CLE,2296,262,437,0.5995,0,3,0.0000,106,213,0.4977,286,429,715,77,39,84,64,176,630
A.J. Hammons,DAL,154,17,42,0.4048,5,10,0.5000,9,20,0.4500,8,28,36,4,1,13,10,21,48
Andrew Bogut,DAL,566,38,81,0.4691,0,1,0.0000,3,11,0.2727,56,162,218,49,13,25,43,84,79
Ben Bentil,DAL,8,0,3,0.0000,0,1,0.0000,0,0,,0,2,2,0,0,0,1,1,0
DeAndre Liggins,DAL,24,3,6,0.5000,0,1,0.0000,2,3,0.6667,3,4,7,0,2,0,0,3,8
Deron Williams,DAL,1150,195,453,0.4305,63,181,0.3481,69,84,0.8214,13,89,102,274,25,2,98,96,522
Devin Harris,DAL,1055,136,341,0.3988,58,177,0.3277,107,129,0.8295,11,116,127,136,43,7,57,101,437
Dirk Nowitzki,DAL,1404,296,678,0.4366,79,209,0.3780,98,112,0.8750,23,330,353,82,30,38,51,113,769
Dorian Finney-Smith,DAL,1603,124,333,0.3724,56,191,0.2932,46,61,0.7541,55,167,222,67,52,25,45,125,350
Dwight Powell,DAL,1298,194,377,0.5146,21,74,0.2838,107,141,0.7589,93,213,306,49,61,39,34,135,516
Harrison Barnes,DAL,2765,599,1280,0.4680,78,222,0.3514,242,281,0.8612,93,301,394,116,65,15,102,128,1518
J.J. Barea,DAL,755,142,343,0.4140,53,148,0.3581,44,51,0.8627,9,75,84,193,14,1,63,30,381
Jarrod Uthoff,DAL,110,16,38,0.4211,3,9,0.3333,5,7,0.7143,8,14,22,9,2,4,3,8,40
Jonathan Gibson,DAL,223,35,95,0.3684,15,45,0.3333,21,29,0.7241,1,21,22,26,8,0,21,21,106
Justin Anderson,DAL,683,111,277,0.4007,37,122,0.3033,70,88,0.7955,39,110,149,32,28,16,40,64,329
Manny Harris,DAL,23,3,15,0.2000,0,2,0.0000,2,4,0.5000,3,6,9,2,0,0,2,1,8
Nerlens Noel,DAL,471,77,134,0.5746,0,0,,34,48,0.7083,47,103,150,20,22,24,22,55,188
Nicolas Brussino,DAL,497,52,141,0.3688,29,95,0.3053,17,22,0.7727,26,69,95,47,17,8,26,43,150
Pierre Jackson,DAL,82,13,39,0.3333,3,11,0.2727,6,7,0.8571,1,8,9,19,2,0,3,5,35
Quincy Acy,DAL,44,5,17,0.2941,1,7,0.1429,2,3,0.6667,2,6,8,0,0,0,2,9,13
Quinn Cook,DAL,74,11,25,0.4400,5,14,0.3571,0,2,0.0000,0,3,3,12,1,0,8,6,27
Salah Mejri,DAL,869,88,137,0.6423,1,3,0.3333,36,61,0.5902,97,211,308,14,32,61,40,152,213
Seth Curry,DAL,1996,338,703,0.4808,137,322,0.4255,85,100,0.8500,25,154,179,189,79,7,92,126,898
Wesley Matthews,DAL,2457,333,847,0.3932,174,479,0.3633,146,179,0.8156,18,241,259,210,77,15,102,161,986
Yogi Ferrell,DAL,1025,142,345,0.4116,60,149,0.4027,64,73,0.8767,16,83,99,155,40,7,56,79,408
Alonzo Gee,DEN,83,3,14,0.2143,0,3,0.0000,5,9,0.5556,4,11,15,6,5,1,4,14,11
Danilo Gallinari,DEN,2103,335,750,0.4467,126,324,0.3889,349,387,0.9018,39,286,325,135,40,15,82,93,1145
Darrell Arthur,DEN,617,95,215,0.4419,53,117,0.4530,19,22,0.8636,25,87,112,42,19,21,36,76,262
Emmanuel Mudiay,DEN,1377,208,551,0.3775,56,178,0.3146,131,167,0.7844,29,149,178,217,41,13,123,95,603
Gary Harris,DEN,1756,320,637,0.5024,107,255,0.4196,104,134,0.7761,48,130,178,164,71,8,76,92,851
Jamal Murray,DEN,1722,295,730,0.4041,115,344,0.3343,106,120,0.8833,41,173,214,170,51,24,113,124,811
Jameer Nelson,DEN,2005,268,604,0.4437,106,273,0.3883,45,63,0.7143,28,164,192,385,54,8,128,197,687
Jarnell Stokes,DEN,5,1,1,1.0000,0,0,,1,2,0.5000,1,1,2,2,1,0,0,3,3
Johnny O'Bryant,DEN,44,7,15,0.4667,2,3,0.6667,4,4,1.0000,5,6,11,2,0,1,3,4,20
Juan Hernangomez,DEN,812,101,224,0.4509,46,113,0.4071,57,76,0.7500,43,144,187,29,30,12,31,62,305
Jusuf Nurkic,DEN,784,151,298,0.5067,0,0,,56,113,0.4956,89,171,260,60,25,36,81,88,358
Kenneth Faried,DEN,1261,228,416,0.5481,0,6,0.0000,131,189,0.6931,183,279,462,55,43,40,59,124,587
Malik Beasley,DEN,154,33,73,0.4521,9,28,0.3214,8,10,0.8000,5,12,17,11,7,0,8,10,83
Mason Plumlee,DEN,620,99,181,0.5470,0,1,0.0000,47,76,0.6184,50,123,173,70,19,29,46,77,245
Mike Miller,DEN,141,9,23,0.3913,8,20,0.4000,2,2,1.0000,2,36,38,22,2,0,13,9,28
Nikola Jokic,DEN,2005,494,854,0.5785,45,139,0.3237,188,228,0.8246,212,506,718,359,61,55,171,214,1221
Roy Hibbert,DEN,8,2,3,0.6667,0,0,,0,0,,1,1,2,1,0,2,1,3,4
Will Barton,DEN,1677,295,666,0.4429,87,235,0.3702,143,190,0.7526,58,201,259,206,48,28,97,110,820
Wilson Chandler,DEN,2165,433,939,0.4611,110,326,0.3374,141,194,0.7268,103,357,460,141,51,30,114,172,1117
Andre Drummond,DET,2371,483,911,0.5302,2,7,0.2857,137,355,0.3859,345,770,1115,90,124,89,152,237,1105
Aron Baynes,DET,1124,143,279,0.5125,0,0,,79,94,0.8404,111,222,333,32,17,39,50,166,365
Beno Udrih,DET,542,92,197,0.4670,11,32,0.3438,32,34,0.9412,6,51,57,131,13,0,36,29,227
Boban Marjanovic,DET,278,72,132,0.5455,0,0,,47,58,0.8103,46,84,130,9,6,12,10,25,191
Darrun Hilliard,DET,363,47,126,0.3730,12,46,0.2609,21,28,0.7500,2,31,33,33,11,2,28,39,127
Henry Ellenson,DET,139,23,64,0.3594,10,35,0.2857,4,8,0.5000,8,33,41,7,1,1,14,6,60
Ish Smith,DET,1919,329,749,0.4393,28,105,0.2667,72,102,0.7059,21,214,235,418,61,33,112,127,758
Jon Leuer,DET,1907,310,646,0.4799,49,167,0.2934,98,113,0.8673,102,300,402,111,31,26,66,145,767
Kentavious Caldwell-Pope,DET,2490,370,928,0.3987,153,437,0.3501,154,185,0.8324,55,193,248,193,89,12,86,118,1047
Marcus Morris,DET,2525,421,1007,0.4181,118,357,0.3305,145,185,0.7838,77,289,366,160,52,25,87,168,1105
Michael Gbinije,DET,27,1,10,0.1000,0,4,0.0000,2,2,1.0000,2,1,3,2,0,0,0,2,4
Reggie Bullock,DET,456,54,128,0.4219,28,73,0.3836,5,7,0.7143,13,51,64,29,18,3,10,22,141
Reggie Jackson,DET,1395,284,677,0.4195,66,184,0.3587,118,136,0.8676,21,93,114,270,35,5,114,129,752
Stanley Johnson,DET,1329,129,365,0.3534,45,154,0.2922,36,53,0.6792,36,153,189,105,56,24,71,121,339
Tobias Harris,DET,2529,511,1063,0.4807,109,314,0.3471,190,226,0.8407,63,353,416,142,60,39,96,133,1321
Anderson Varejao,GSW,86,5,14,0.3571,0,0,,8,11,0.7273,12,15,27,10,3,3,8,16,18
Andre Iguodala,GSW,1958,219,415,0.5277,64,177,0.3616,72,102,0.7059,51,253,304,261,76,39,58,97,574
Briante Weber,GSW,43,5,14,0.3571,0,3,0.0000,2,3,0.6667,0,4,4,5,3,1,3,4,12
Damian Jones,GSW,81,8,16,0.5000,0,0,,3,10,0.3000,9,14,23,0,1,4,6,15,19
David West,GSW,822,135,252,0.5357,3,8,0.3750,43,56,0.7679,47,156,203,151,42,48,78,105,316
Draymond Green,GSW,2431,272,650,0.4185,81,263,0.3080,151,213,0.7089,98,501,599,533,154,106,184,217,776
Ian Clark,GSW,1096,211,433,0.4873,61,163,0.3742,44,58,0.7586,22,99,121,90,39,8,55,77,527
James Michael McAdoo,GSW,432,62,117,0.5299,2,8,0.2500,21,42,0.5000,34,57,91,18,18,29,19,47,147
JaVale McGee,GSW,702,208,319,0.6520,0,3,0.0000,56,111,0.5045,100,144,244,17,19,67,40,109,472
